City/Town,State or union territory,Place,Latitude,Longitude,AVERAGE,Exceeding/Not exceeding
Uran,Maharashtra,"Uran, Maharashtra",18.87723,72.9283391,48.83999939,Exceeding
Urmar Tanda,Punjab,"Urmar Tanda, Punjab",31.6753,75.6339512,61.00000076,Exceeding
Utraula,Uttar Pradesh,"Utraula, Uttar Pradesh",27.31752,82.4183927,83.42000122,Exceeding
Vadnagar,Gujarat,"Vadnagar, Gujarat",23.77573,72.6165643,53.2,Exceeding
Vaijapur,Maharashtra,"Vaijapur, Maharashtra",19.92568,74.7284812,43.11999969,Exceeding
"Vijainagar, Ajmer",Rajasthan,"Vijainagar, Ajmer, Rajasthan",25.92676,74.6506322,55.28000107,Exceeding
Vijapur,Gujarat,"Vijapur, Gujarat",23.56094,72.7510921,56.37999954,Exceeding
Vijaypur,Madhya Pradesh,"Vijaypur, Madhya Pradesh",26.05383,77.3690496,65.14000015,Exceeding
Vikasnagar,Uttarakhand,"Vikasnagar, Uttarakhand",30.47503,77.7652346,48.1,Exceeding
Viramgam,Gujarat,"Viramgam, Gujarat",23.12496,72.0535829,55.7,Exceeding
Visnagar,Gujarat,"Visnagar, Gujarat",23.70238,72.5425606,57.8,Exceeding
Vrindavan,Uttar Pradesh,"Vrindavan, Uttar Pradesh",27.56501,77.6593394,109.9,Exceeding
Wadgaon Road,Maharashtra,"Wadgaon Road, Maharashtra",20.37178,78.1079763,43.83999939,Exceeding
Wadhwan,Gujarat,"Wadhwan, Gujarat",22.71145,71.6732681,45.13999939,Exceeding
Wani,Maharashtra,"Wani, Maharashtra",20.06084,78.9571069,44.6,Exceeding
Wankaner,Gujarat,"Wankaner, Gujarat",22.62363,70.9616056,49.47999954,Exceeding
Wara Seoni,Madhya Pradesh,"Wara Seoni, Madhya Pradesh",21.7654,80.0590804,51.94000015,Exceeding
Warhapur,Uttar Pradesh,"Warhapur, Uttar Pradesh",29.52789,78.5632461,47.55999985,Exceeding
Warisaliganj,Bihar,"Warisaliganj, Bihar",25.01252,85.6383484,73.72000122,Exceeding
Warora,Maharashtra,"Warora, Maharashtra",20.2506,79.0163018,46.26000061,Exceeding
Warud,Maharashtra,"Warud, Maharashtra",21.47121,78.2647004,48.38000031,Exceeding
Washim,Maharashtra,"Washim, Maharashtra",20.11191,77.1312586,43.33999939,Exceeding
Yamunanagar,Haryana,"Yamunanagar, Haryana",30.12905,77.2673901,69.81999969,Exceeding
Yawal,Maharashtra,"Yawal, Maharashtra",21.16809,75.6991717,54.95999908,Exceeding
Zaidpur,Uttar Pradesh,"Zaidpur, Uttar Pradesh",26.83393,81.331402,110.2,Exceeding
Zamania,Uttar Pradesh,"Zamania, Uttar Pradesh",25.42413,83.5576478,94.7,Exceeding
Zira,Punjab,"Zira, Punjab",30.96853,74.9880895,82.65999908,Exceeding
Zirakpur,Punjab,"Zirakpur, Punjab",30.64255,76.8173359,52.88000107,Exceeding
