City/Town,State or union territory,Place,Latitude,Longitude,AVERAGE,Exceeding/Not exceeding
Malkapur,Maharashtra,"Malkapur, Maharashtra",20.88433,76.2026077,52.58000031,Exceeding
Malout,Punjab,"Malout, Punjab",30.18902,74.4996955,75.36000061,Exceeding
Malpura,Rajasthan,"Malpura, Rajasthan",26.30057,75.3696614,62.71999817,Exceeding
Manasa,Madhya Pradesh,"Manasa, Madhya Pradesh",24.4748,75.140385,57.05999985,Exceeding
Manavadar,Gujarat,"Manavadar, Gujarat",21.49318,70.1366499,41.34000015,Exceeding
Manawar,Madhya Pradesh,"Manawar, Madhya Pradesh",22.23667,75.0873956,54.91999969,Exceeding
Mandalgarh,Rajasthan,"Mandalgarh, Rajasthan",25.19776,75.0932352,54.6,Exceeding
Mandawa,Rajasthan,"Mandawa, Rajasthan",28.05002,75.1487007,60.42000046,Exceeding
Mandi Dabwali,Haryana,"Mandi Dabwali, Haryana",29.97015,74.7043392,80.7,Exceeding
Mandideep,Madhya Pradesh,"Mandideep, Madhya Pradesh",23.09928,77.5114731,51.4,Exceeding
Mandla,Madhya Pradesh,"Mandla, Madhya Pradesh",22.59792,80.3713855,48.3,Exceeding
Mandvi,Gujarat,"Mandvi, Gujarat",22.83333,69.3554783,43.63999939,Exceeding
Manendragarh,Chhattisgarh,"Manendragarh, Chhattisgarh",23.21339,82.1936679,46.11999969,Exceeding
Maner Sharif,Bihar,"Maner Sharif, Bihar",25.64757,84.8752085,97.8,Exceeding
Manglaur,Uttarakhand,"Manglaur, Uttarakhand",29.78855,77.8797138,61.4,Exceeding
Mango,Jharkhand,"Mango, Jharkhand",22.83844,86.2293535,71.46000061,Exceeding
Mangrol,Rajasthan,"Mangrol, Rajasthan",25.33624,76.5112471,63.44000092,Exceeding
Mangrulpir,Maharashtra,"Mangrulpir, Maharashtra",20.31487,77.3419417,45.04000092,Exceeding
Manihari,Bihar,"Manihari, Bihar",25.34606,87.6226819,80.6,Exceeding
Manjlegaon,Maharashtra,"Manjlegaon, Maharashtra",19.16467,76.2044549,42.55999985,Exceeding
Mankachar,Assam,"Mankachar, Assam",25.53548,89.8622017,56.4,Exceeding
Mansa,Punjab,"Mansa, Punjab",29.99951,75.3936808,81.50000153,Exceeding
Mansa,Gujarat,"Mansa, Gujarat",23.43499,72.6565084,55.32000046,Exceeding
Manwath,Maharashtra,"Manwath, Maharashtra",19.30609,76.4967919,43.08000031,Exceeding
Marhaura,Bihar,"Marhaura, Bihar",25.97018,84.8763365,103.7400009,Exceeding
Masaurhi,Bihar,"Masaurhi, Bihar",25.35128,85.0311411,87.23999939,Exceeding
Mathabhanga,West Bengal,"Mathabhanga, West Bengal",26.34273,89.2153363,44.38000031,Exceeding
Mathura,Uttar Pradesh,"Mathura, Uttar Pradesh",27.49241,77.673673,105.4599991,Exceeding
Mau,Uttar Pradesh,"Mau, Uttar Pradesh",25.94628,83.5610119,100.5600006,Exceeding
Mauganj,Madhya Pradesh,"Mauganj, Madhya Pradesh",24.66967,81.8810227,54.51999969,Exceeding
Medininagar,Jharkhand,"Medininagar, Jharkhand",24.04651,84.0768462,46.53999939,Exceeding
Mehsana,Gujarat,"Mehsana, Gujarat",23.58796,72.3693252,58.94000015,Exceeding
Memari,West Bengal,"Memari, West Bengal",23.17455,88.1033883,74.25999908,Exceeding
Merta City,Rajasthan,"Merta City, Rajasthan",26.64495,74.0309418,58.8,Exceeding
Mhow Cantonment,Madhya Pradesh,"Mhow Cantonment, Madhya Pradesh",22.5505,75.7625071,48.68000031,Exceeding
Mhowgaon,Madhya Pradesh,"Mhowgaon, Madhya Pradesh",22.57806,75.7313342,49.01999969,Exceeding
Midnapore,West Bengal,"Midnapore, West Bengal",22.42566,87.3198819,62.62000046,Exceeding
Mihijam,Jharkhand,"Mihijam, Jharkhand",23.8473,86.8824997,67.65999985,Exceeding
Mirganj,Bihar,"Mirganj, Bihar",26.36959,84.3357992,107.5800003,Exceeding
Mirzapur,Uttar Pradesh,"Mirzapur, Uttar Pradesh",25.1337,82.5644344,80.20000153,Exceeding
Modasa,Gujarat,"Modasa, Gujarat",23.46431,73.2987578,50.97999954,Exceeding
Moga,Punjab,"Moga, Punjab",30.82301,75.1734471,77.27999878,Exceeding
Mohali,Punjab,"Mohali, Punjab",30.70465,76.7178726,55.15999985,Exceeding
Mokameh,Bihar,"Mokameh, Bihar",25.3984,85.9158262,89.5,Exceeding
Monoharpur,West Bengal,"Monoharpur, West Bengal",21.99289,87.3090683,57.4,Exceeding
Morbi,Gujarat,"Morbi, Gujarat",22.82519,70.8490809,49.65999985,Exceeding
Morena,Madhya Pradesh,"Morena, Madhya Pradesh",26.49472,77.9940222,101.1599991,Exceeding
"Morinda, India",Punjab,"Morinda, India, Punjab",30.79123,76.502549,61.45999985,Exceeding
